306960527084,BOIR NUX VOMICA 6C,(1.000),$5.99,($5.99),,,,,,,,,
,Mfr. Coupon 006960-000000,,,$3.00,,,,,,,,,
306960527312,BOIR NUX VOMICA 200C,1.000,$8.99,$8.99,,,,,,,,,
,Mfr. Coupon,,,($3.00),,,,,,,,,
722430200163,GT GINGERADE KOMBUCH,1.000,$3.19,$3.19,,,,,,,,,
722430200163,GT GINGERADE KOMBUCH,1.000,$3.19,$3.19,,,,,,,,,
722430200163,GT GINGERADE KOMBUCH,1.000,$3.19,$3.19,,,,,,,,,
081054394406,CRANE LAKE CHARDONNA,1.000,$4.49,$4.49,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
94081,EGGPLANT GLOBE,1.090,$2.99,$3.26,,,,,,,,,
867481000147,HC WILD BUNS,1.000,$6.79,$6.79,,,,,,,,,
,Debit Card,,,$37.11,,,,,,,,,
,SUBTOTAL,,,$27.11,,,,,,,,,
,TOTAL,,,$27.11,,,,,,,,,
,TOTAL TENDERED,,,$37.11,,,,,,,,,
,Change,,,$10.00,,,,,,,,,
,Amount: 37.11,,,,,,,,,,,,
,Date: 1/4/16 4:23:16 PM PST,,,,,,,,,,,,
,Reference #: 0285,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69239,Invoice Number :,RS106069239,Start :,01/04/2016 04:23:03 PM,End : ,01/04/2016 04:23:38 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
2278,CHILI PWDR OG NSALT,.110,$17.89,$1.97,,,,,,,,,
,DISC STAFF 15%,,,($.30),,,,,,,,,
,Credit Card,,,$1.67,,,,,,,,,
,SUBTOTAL,,,$1.67,,,,,,,,,
,TOTAL,,,$1.67,,,,,,,,,
,TOTAL TENDERED,,,$1.67,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Exp Date : 0417,,,,,,,,,,,,
,Amount: 1.67,,,,,,,,,,,,
,Approval #: 059186,,,,,,,,,,,,
,Date: 1/4/16 4:23:38 PM PST,,,,,,,,,,,,
,Reference #: 0286,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69240,Invoice Number :,RS106069240,Start :,01/04/2016 04:24:18 PM,End : ,01/04/2016 04:24:36 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
664164104099,OZERY MRNG ROUND MUE,1.000,$2.99,$2.99,,,,,,,,,
,Mfr. Coupon 0664164-021503,,,($1.00),,,,,,,,,
,Cash,,,$2.00,,,,,,,,,
,SUBTOTAL,,,$1.99,,,,,,,,,
,TOTAL,,,$1.99,,,,,,,,,
,TOTAL TENDERED,,,$2.00,,,,,,,,,
,Change,,,$.01,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,5 : POS5                          ,Receipt Number :,65238,Invoice Number :,RS105065238,Start :,01/04/2016 04:26:19 PM,End : ,01/04/2016 04:27:16 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
93604,APPLE LADY ALICE,.520,$2.49,$1.29,,,,,,,,,
,DISC STAFF 15%,,,($.20),,,,,,,,,
,Credit Card,,,$1.09,,,,,,,,,
,SUBTOTAL,,,$1.09,,,,,,,,,
,TOTAL,,,$1.09,,,,,,,,,
,TOTAL TENDERED,,,$1.09,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 1.09,,,,,,,,,,,,
,Approval #: 059394,,,,,,,,,,,,
,Date: 1/4/16 4:27:16 PM PST,,,,,,,,,,,,
,Reference #: 0287,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65386,Invoice Number :,RS101065386,Start :,01/04/2016 04:25:37 PM,End : ,01/04/2016 04:27:44 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94567,BROCCOLI ROMANESCO,1.230,$4.99,$6.14,,,,,,,,,
93087,KALE PURPLE,1.000,$2.79,$2.79,,,,,,,,,
94576,CELERY STICK,.250,$2.99,$.75,,,,,,,,,
94093,ONION YELLOW,1.230,$1.49,$1.83,,,,,,,,,
02308,FA SOUP TO GO PINT,1.000,$3.99,$3.99,,,,,,,,,
94610,GARLIC DRY,.140,$5.99,$.84,,,,,,,,,
94225,AVOCADO HASS,2.000,$2.00,$4.00,,,,,,,,,
94562,CARROT,.400,$1.99,$.80,,,,,,,,,
94576,CELERY STICK,.070,$2.99,$.21,,,,,,,,,
50716,DVF BONELESS THIGHS,1.106,$4.99,$5.52,,,,,,,,,
94088,PEPPER BELL RED,.460,$2.99,$1.38,,,,,,,,,
94727,POTATO YUKON,1.810,$1.29,$2.33,,,,,,,,,
94693,PEPPER JALAPENO,.070,$6.99,$.49,,,,,,,,,
,Debit Card,,,$29.08,,,,,,,,,
,SUBTOTAL,,,$29.08,,,,,,,,,
,TOTAL,,,$29.08,,,,,,,,,
,TOTAL TENDERED,,,$29.08,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 29.08,,,,,,,,,,,,
,Date: 1/4/16 4:27:44 PM PST,,,,,,,,,,,,
,Reference #: 0288,,,,,,,,,,,,
,Owner Sale Day,,,($1.99),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69241,Invoice Number :,RS106069241,Start :,01/04/2016 04:27:27 PM,End : ,01/04/2016 04:28:23 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
02320,FA SOUP 32 OZ,1.334,$4.49,$5.99,,,,,,,,,
94539,BEET RED BUNCH,1.000,$2.99,$2.99,,,,,,,,,
94749,SPINACH LOOSE,.310,$8.99,$2.79,,,,,,,,,
02274,FA PUMPKIN MINI LOAF,1.000,$3.49,$3.49,,,,,,,,,
94097,APPLE GOLDRUSH,.350,$2.99,$1.05,,,,,,,,,
,Debit Card,,,$16.31,,,,,,,,,
,SUBTOTAL,,,$16.31,,,,,,,,,
,TOTAL,,,$16.31,,,,,,,,,
,TOTAL TENDERED,,,$16.31,,,,,,,,,
,Change,,,$.00,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69241,Invoice Number :,RS106069241,Start :,01/04/2016 04:27:27 PM,End : ,01/04/2016 04:28:23 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Amount: 16.31,,,,,,,,,,,,
,Date: 1/4/16 4:28:23 PM PST,,,,,,,,,,,,
,Reference #: 0289,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1775 : John,Terminal :,4 : POS4                          ,Receipt Number :,59266,Invoice Number :,RS104059266,Start :,01/04/2016 04:26:54 PM,End : ,01/04/2016 04:28:37 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
3279,CRANBERRIES USA,.910,$6.99,$6.36,,,,,,,,,
832118001057,CGF OATMEAL BREAD,1.000,$3.99,$3.99,,,,,,,,,
894455000254,JUSTIN PB CUPS DK CH,1.000,$1.79,$1.79,,,,,,,,,
94069,CABBAGE GREEN,1.320,$1.29,$1.70,,,,,,,,,
94076,LETTUCE GREEN LEAF,1.000,$2.99,$2.99,,,,,,,,,
1517,COCONUT OG MED CUT,.660,$4.99,$3.29,,,,,,,,,
3094,PUMPKIN SEEDS LOCAL,.510,$11.19,$5.71,,,,,,,,,
93604,APPLE LADY ALICE,.560,$2.49,$1.39,,,,,,,,,
94770,AVOCADO HASS,1.000,$2.00,$2.00,,,,,,,,,
,Credit Card,,,$29.22,,,,,,,,,
,SUBTOTAL,,,$29.22,,,,,,,,,
,TOTAL,,,$29.22,,,,,,,,,
,TOTAL TENDERED,,,$29.22,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 29.22,,,,,,,,,,,,
,Approval #: 559483,,,,,,,,,,,,
,Date: 1/4/16 4:28:37 PM PST,,,,,,,,,,,,
,Reference #: 070307,,,,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69242,Invoice Number :,RS106069242,Start :,01/04/2016 04:28:47 PM,End : ,01/04/2016 04:29:19 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
008274444445,REEDS EXTRA GINGER BREW 4PK,1.000,$5.79,$5.79,,,,,,,,,
55,4 PK DEPOSIT,1.000,$.20,$.20,,,,,,,,,
085762004329,GEN GING LEMONADE,1.000,$3.89,$3.89,,,,,,,,,
021078011965,SN ALLERCETIN ALLERG,1.000,$11.39,$11.39,,,,,,,,,
,Debit Card,,,$21.27,,,,,,,,,
,SUBTOTAL,,,$21.27,,,,,,,,,
,TOTAL,,,$21.27,,,,,,,,,
,TOTAL TENDERED,,,$21.27,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 21.27,,,,,,,,,,,,
,Date: 1/4/16 4:29:19 PM PST,,,,,,,,,,,,
,Reference #: 0290,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69243,Invoice Number :,RS106069243,Start :,01/04/2016 04:29:25 PM,End : ,01/04/2016 04:30:16 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94025,PEAR D'ANJOU,.450,$2.49,$1.12,,,,,,,,,
,DISC STAFF 15%,,,($.17),,,,,,,,,
##########6042,Gift Card Add - 6042,,,$.95,,,,,,,,,
,Gift Card,,,$.95,,,,,,,,,
,SUBTOTAL,,,$.95,,,,,,,,,
,TOTAL,,,$.95,,,,,,,,,
,TOTAL TENDERED,,,$.95,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Approval #: 817849,,,,,,,,,,,,
,Date: 1/4/16 4:30:16 PM PST,,,,,,,,,,,,
,Reference #: 817849,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65387,Invoice Number :,RS101065387,Start :,01/04/2016 04:28:04 PM,End : ,01/04/2016 04:30:21 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
894455000247,JUSTIN PB CUP MILK C,1.000,$1.79,$1.79,,,,,,,,,
894455000247,JUSTIN PB CUP MILK C,1.000,$1.79,$1.79,,,,,,,,,
708656100357,GB MILK CHOC BAR SM,1.000,$1.89,$1.89,,,,,,,,,
708656100357,GB MILK CHOC BAR SM,1.000,$1.89,$1.89,,,,,,,,,
745998903208,EE DK CHOC MINI BAR,36.000,$.39,$14.04,,,,,,,,,
745998903208,EE DK CHOC MINI BAR,1.000,$.39,$.39,,,,,,,,,
745998903208,Removed >> EE DK CHOC MINI BAR,(1.000),$.39,($.39),,,,,,,,,
745998903208,EE DK CHOC MINI BAR,1.000,$.39,$.39,,,,,,,,,
745998903208,Removed >> EE DK CHOC MINI BAR,(1.000),$.39,($.39),,,,,,,,,
745998903208,Removed >> EE DK CHOC MINI BAR,(36.000),$.39,($14.04),,,,,,,,,
745998903208,EE DK CHOC MINI BAR,36.000,$.39,$14.04,,,,,,,,,
94428,PERSIMMON FUYU,5.000,$1.00,$5.00,,,,,,,,,
94899,PARSLEY CURLY,1.000,$1.99,$1.99,,,,,,,,,
94457,MANDARIN SATSUMA/TDE,1.170,$2.99,$3.50,,,,,,,,,
94090,SPINACH BUNCH,1.000,$2.99,$2.99,,,,,,,,,
187132005582,ES FOAM SOAP VAN MIN,1.000,$4.99,$4.99,,,,,,,,,
858284002254,EPIC BAR BISON BACON,1.000,$2.89,$2.89,,,,,,,,,
93277,BROCCOLINI,2.000,$3.99,$7.98,,,,,,,,,
878223000264,CAL 16 NIKKI MCCLURE,1.000,$12.14,$12.14,,,,,,,,,
,Debit Card,,,$57.09,,,,,,,,,
,SUBTOTAL,,,$57.09,,,,,,,,,
,TOTAL,,,$57.09,,,,,,,,,
,TOTAL TENDERED,,,$57.09,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 57.09,,,,,,,,,,,,
,Date: 1/4/16 4:30:21 PM PST,,,,,,,,,,,,
,Reference #: 0291,,,,,,,,,,,,
,Owner Sale Day,,,($5.79),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69244,Invoice Number :,RS106069244,Start :,01/04/2016 04:30:28 PM,End : ,01/04/2016 04:30:49 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
649,FA COMBINED FOOD BAR,.950,$8.99,$8.54,,,,,,,,,
649,FA COMBINED FOOD BAR,.560,$8.99,$5.03,,,,,,,,,
,Cash,,,$15.00,,,,,,,,,
,SUBTOTAL,,,$12.21,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69244,Invoice Number :,RS106069244,Start :,01/04/2016 04:30:28 PM,End : ,01/04/2016 04:30:49 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,TOTAL,,,$12.21,,,,,,,,,
,TOTAL TENDERED,,,$15.00,,,,,,,,,
,Change,,,$2.79,,,,,,,,,
,Owner Sale Day,,,($1.36),,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1775 : John,Terminal :,4 : POS4                          ,Receipt Number :,59267,Invoice Number :,RS104059267,Start :,01/04/2016 04:28:46 PM,End : ,01/04/2016 04:30:59 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
072830029858,TILL CHEDDAR 3 YEARS,1.000,$6.59,$6.59,,,,,,,,,
032601601058,STRAWBERRY 1#,1.000,$6.99,$6.99,,,,,,,,,
093966002058,OVAL SOUR CREAM,1.000,$3.69,$3.69,,,,,,,,,
018673550142,LOCH 2% MILK QUART,1.000,$1.29,$1.29,,,,,,,,,
085762000116,TOBY`S ORIGINAL PATE,1.000,$3.49,$3.49,,,,,,,,,
019815530497,DE CASA MILD SALSA,1.000,$2.39,$2.39,,,,,,,,,
070924002619,ALP COTTAGE CHS RF,1.000,$1.99,$1.99,,,,,,,,,
021888120628,RL SUNNY GUMMY 100OI,1.000,$12.49,$12.49,,,,,,,,,
94011,BANANA,1.840,$.99,$1.82,,,,,,,,,
042563600006,FD BLACK BEANS,1.000,$1.00,$1.00,,,,,,,,,
042563600006,FD BLACK BEANS,1.000,$1.00,$1.00,,,,,,,,,
94079,CAULIFLOWER,1.830,$4.99,$9.13,,,,,,,,,
94664,TOMATO,.900,$3.99,$3.59,,,,,,,,,
94770,AVOCADO HASS,1.000,$2.00,$2.00,,,,,,,,,
94593,CUCUMBER EURO/ASIAN,1.000,$3.49,$3.49,,,,,,,,,
853736005371,HK LEMON GINGER,1.000,$2.50,$2.50,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
070617000625,BARB CHEESE PUFFS,1.000,$3.19,$3.19,,,,,,,,,
070617000625,BARB CHEESE PUFFS,1.000,$3.19,$3.19,,,,,,,,,
,Credit Card,,,$69.88,,,,,,,,,
,SUBTOTAL,,,$69.88,,,,,,,,,
,TOTAL,,,$69.88,,,,,,,,,
,TOTAL TENDERED,,,$69.88,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 69.88,,,,,,,,,,,,
,Approval #: 559620,,,,,,,,,,,,
,Date: 1/4/16 4:30:59 PM PST,,,,,,,,,,,,
,Reference #: 070308,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1775 : John,Terminal :,4 : POS4                          ,Receipt Number :,59267,Invoice Number :,RS104059267,Start :,01/04/2016 04:28:46 PM,End : ,01/04/2016 04:30:59 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Signature Captured,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65388,Invoice Number :,RS101065388,Start :,01/04/2016 04:30:49 PM,End : ,01/04/2016 04:31:00 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
94285,GRAPEFRUIT RIO,1.010,$1.49,$1.50,,,,,,,,,
894773001100,ZEVIA BLK CHRY SODA SGR FREE SGL,1.000,$.78,$.78,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
894773001025,ZEVIA TWIST SODA SUGAR FREE SGL,1.000,$.78,$.78,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
894773001100,ZEVIA BLK CHRY SODA SGR FREE SGL,1.000,$.78,$.78,,,,,,,,,
62,6 PK BOTTLE DEPOSIT,.167,$.30,$.05,,,,,,,,,
075820000004,SPIKE SHAKER,1.000,$2.99,$2.99,,,,,,,,,
,Cash,,,$20.00,,,,,,,,,
,SUBTOTAL,,,$6.98,,,,,,,,,
,TOTAL,,,$6.98,,,,,,,,,
,TOTAL TENDERED,,,$20.00,,,,,,,,,
,Change,,,$13.02,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1775 : John,Terminal :,4 : POS4                          ,Receipt Number :,59268,Invoice Number :,RS104059268,Start :,01/04/2016 04:31:11 PM,End : ,01/04/2016 04:31:24 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1530,SALT SEA XTRA FINE,.150,$.69,$.10,,,,,,,,,
,Cash,,,$5.00,,,,,,,,,
,SUBTOTAL,,,$.10,,,,,,,,,
,TOTAL,,,$.10,,,,,,,,,
,TOTAL TENDERED,,,$5.00,,,,,,,,,
,Change,,,$4.90,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69245,Invoice Number :,RS106069245,Start :,01/04/2016 04:31:10 PM,End : ,01/04/2016 04:31:35 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
3001,ALMOND BTTR OG,.930,$14.99,$13.94,,,,,,,,,
,Credit Card,,,$13.94,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69245,Invoice Number :,RS106069245,Start :,01/04/2016 04:31:10 PM,End : ,01/04/2016 04:31:35 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,SUBTOTAL,,,$13.94,,,,,,,,,
,TOTAL,,,$13.94,,,,,,,,,
,TOTAL TENDERED,,,$13.94,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 13.94,,,,,,,,,,,,
,Approval #: 04733C,,,,,,,,,,,,
,Date: 1/4/16 4:31:35 PM PST,,,,,,,,,,,,
,Reference #: 0293,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,5 : POS5                          ,Receipt Number :,65239,Invoice Number :,RS105065239,Start :,01/04/2016 04:29:52 PM,End : ,01/04/2016 04:31:41 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
654871000449,CG LIME MIN WATER,1.000,$1.69,$1.69,,,,,,,,,
48,5¢ BOTTLE DEPOSIT GROCERY,1.000,$.05,$.05,,,,,,,,,
2524,DATE ALMOND ROLL,.300,$7.99,$2.40,,,,,,,,,
94645,MUSHROOM WHITE BUTTON,.500,$4.99,$2.50,,,,,,,,,
94060,BROCCOLI,1.580,$2.99,$4.72,,,,,,,,,
2827,TAMARI OG WF,1.060,$3.49,$3.70,,,,,,,,,
94562,CARROT,.830,$1.99,$1.65,,,,,,,,,
94053,LEMON,.580,$2.99,$1.73,,,,,,,,,
94770,AVOCADO HASS,2.000,$2.00,$4.00,,,,,,,,,
94082,ONION RED,.650,$1.49,$.97,,,,,,,,,
94816,POTATO SWEET YAM GARNET,1.310,$1.99,$2.61,,,,,,,,,
94286,GRAPEFRUIT RIO,1.230,$1.49,$1.83,,,,,,,,,
,Debit Card,,,$27.85,,,,,,,,,
,SUBTOTAL,,,$27.85,,,,,,,,,
,TOTAL,,,$27.85,,,,,,,,,
,TOTAL TENDERED,,,$27.85,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 27.85,,,,,,,,,,,,
,Date: 1/4/16 4:31:41 PM PST,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,5 : POS5                          ,Receipt Number :,65239,Invoice Number :,RS105065239,Start :,01/04/2016 04:29:52 PM,End : ,01/04/2016 04:31:41 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
,Reference #: 0292,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,1775 : John,Terminal :,4 : POS4                          ,Receipt Number :,59269,Invoice Number :,RS104059269,Start :,01/04/2016 04:31:58 PM,End : ,01/04/2016 04:32:25 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
186063000666,CRISPIN PACIFIC PEAR CIDER 4PK,1.000,$6.59,$6.59,,,,,,,,,
,* * * Age Verified 21,,,,,,,,,,,,
691535481015,NUGO DK DBL CHOC BAR,1.000,$1.89,$1.89,,,,,,,,,
,Cash,,,$20.00,,,,,,,,,
,SUBTOTAL,,,$8.48,,,,,,,,,
,TOTAL,,,$8.48,,,,,,,,,
,TOTAL TENDERED,,,$20.00,,,,,,,,,
,Change,,,$11.52,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2092 : zzDaisy,Terminal :,1 : POS1                          ,Receipt Number :,65389,Invoice Number :,RS101065389,Start :,01/04/2016 04:31:52 PM,End : ,01/04/2016 04:32:50 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1703,NT MX CRANBERRY HARVEST,.360,$9.49,$3.42,,,,,,,,,
1703,Removed >> NT MX CRANBERRY HARVEST,(.360),$9.49,($3.42),,,,,,,,,
94614,COLLARD,1.000,$1.79,$1.79,,,,,,,,,
074305001321,BRAGGS OG CIDVIN,1.000,$6.39,$6.39,,,,,,,,,
02112,RUMIANO MONT JACK,.754,$4.19,$3.16,,,,,,,,,
94011,BANANA,1.470,$.99,$1.46,,,,,,,,,
,DISC SUPPORT 15%,,,($.27),,,,,,,,,
,DISC SUPPORT 15%,,,($.96),,,,,,,,,
,DISC SUPPORT 15%,,,($.48),,,,,,,,,
,DISC SUPPORT 15%,,,($.22),,,,,,,,,
,Cash,,,$21.00,,,,,,,,,
,SUBTOTAL,,,$10.87,,,,,,,,,
,TOTAL,,,$10.87,,,,,,,,,
,TOTAL TENDERED,,,$21.00,,,,,,,,,
,Change,,,$10.13,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69246,Invoice Number :,RS106069246,Start :,01/04/2016 04:32:48 PM,End : ,01/04/2016 04:33:13 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
649,FA COMBINED FOOD BAR,1.540,$8.99,$13.84,,,,,,,,,
,Credit Card,,,$13.84,,,,,,,,,
,SUBTOTAL,,,$13.84,,,,,,,,,
,TOTAL,,,$13.84,,,,,,,,,
,TOTAL TENDERED,,,$13.84,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 13.84,,,,,,,,,,,,
,Approval #: 814033,,,,,,,,,,,,
,Date: 1/4/16 4:33:13 PM PST,,,,,,,,,,,,
,Reference #: 0294,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2167 : SARAH,Terminal :,5 : POS5                          ,Receipt Number :,65240,Invoice Number :,RS105065240,Start :,01/04/2016 04:33:17 PM,End : ,01/04/2016 04:34:00 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
1703,NT MX CRANBERRY HARVEST,.350,$9.49,$3.32,,,,,,,,,
014054030777,ODWAL CARROT JUICE,1.000,$2.29,$2.29,,,,,,,,,
,Debit Card,,,$5.61,,,,,,,,,
,SUBTOTAL,,,$5.61,,,,,,,,,
,TOTAL,,,$5.61,,,,,,,,,
,TOTAL TENDERED,,,$5.61,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 5.61,,,,,,,,,,,,
,Date: 1/4/16 4:34:00 PM PST,,,,,,,,,,,,
,Reference #: 0295,,,,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69247,Invoice Number :,RS106069247,Start :,01/04/2016 04:33:32 PM,End : ,01/04/2016 04:34:19 PM
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69247,Invoice Number :,RS106069247,Start :,01/04/2016 04:33:32 PM,End : ,01/04/2016 04:34:19 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
00582,FA SESAME TEMPEH,.585,$8.99,$5.26,,,,,,,,,
00582,FA SESAME TEMPEH,.620,$8.99,$5.57,,,,,,,,,
757645021043,NEWM FIG NEWMAN WF,1.000,$3.69,$3.69,,,,,,,,,
1971,PACIF SUMATRA,.880,$13.19,$11.61,,,,,,,,,
688853707064,BR WW FILONE,1.000,$5.39,$5.39,,,,,,,,,
,Cash,,,$40.00,,,,,,,,,
,SUBTOTAL,,,$31.52,,,,,,,,,
,TOTAL,,,$31.52,,,,,,,,,
,TOTAL TENDERED,,,$40.00,,,,,,,,,
,Change,,,$8.48,,,,,,,,,
Store :,RS1    FAC_RS1 (South)                                             ,Cashier :,2109 : zzDylan,Terminal :,6 : POS6                          ,Receipt Number :,69248,Invoice Number :,RS106069248,Start :,01/04/2016 04:34:56 PM,End : ,01/04/2016 04:35:50 PM
Item ID,Receipt Alias,Quantity Sold,Unit Price,Extended Price,,,,,,,,,
092325111134,ANNIE HONEY MUSTARD,1.000,$3.99,$3.99,,,,,,,,,
94068,ONION GREEN/SCALLION,1.000,$.99,$.99,,,,,,,,,
94068,Removed >> ONION GREEN/SCALLION,(1.000),$.99,($.99),,,,,,,,,
94064,TOMATO,1.240,$3.99,$4.95,,,,,,,,,
722252191021,CLIF CRUNCH PNUT BTT,1.000,$4.39,$4.39,,,,,,,,,
780066992449,ALP RYE PEASANT LOAF,1.000,$5.39,$5.39,,,,,,,,,
94211,APPLE WINESAP,1.470,$2.29,$3.37,,,,,,,,,
1822,GRN GINGER SNAP,.640,$3.99,$2.55,,,,,,,,,
,Debit Card,,,$24.64,,,,,,,,,
,SUBTOTAL,,,$24.64,,,,,,,,,
,TOTAL,,,$24.64,,,,,,,,,
,TOTAL TENDERED,,,$24.64,,,,,,,,,
,Change,,,$.00,,,,,,,,,
,Amount: 24.64,,,,,,,,,,,,
,Date: 1/4/16 4:35:50 PM PST,,,,,,,,,,,,
,Reference #: 0296,,,,,,,,,,,,
